,Main Question,Question,Answer
0,Name the following,The unit of currency in France.,Livers
1,,A tax levied by the Church comprising of one tenth of the agricultural produce.,Tithe
2,,Tax paid directly to the state.,Tailly
3,,An extreme situation where the basic means of livelihood are endangered.,Subsistence crisis
4,,The book written by Jeen Jacques.,Two treatises of government
5,,The philosopher and his book which put forward the democratic principles.,Rousseou and The Social Contract
6,,What did the third estate declare themselves as?,National Assembly
7,Answer the following,When was an assembly of the estate general called by Louis XVI?,5 May 1789
8,,Which estate bore the burden of financing activities of the state?,The third estate
9,,When was the draft of the constitution completed by the national Assembly?,1791
10,,What was the main objective of the constitution drafted?(Write in order as mentioned in notes),To limit the powers of the monarch
11,,Name the three institutions to which powers were assigned.,"The legislature, the executive and the judiciary"
